ids,Source,Target,weight,time
1,1,2,30,1
2,1,3,104,1
3,1,4,2,1
4,5,6,165,1
5,5,7,100,1
6,5,8,630,1
7,5,9,261,1
8,5,2,39,1
9,5,10,329,1
10,5,11,115,1
11,12,13,1412,1
12,12,14,675,1
13,12,4,180,1
14,12,15,14,1
15,12,16,30,1
16,12,17,3,1
17,15,17,13,1
18,15,3,12,1
19,15,13,145,1
20,15,4,160,1
21,8,11,119,1
22,8,9,18,1
23,16,18,14,1
24,16,19,5,1
25,16,20,49,1
26,16,13,47,1
27,16,14,99,1
28,16,4,17,1
29,16,21,137,1
30,16,17,31,1
31,9,6,8202,1
32,9,7,446,1
33,9,22,12,1
34,9,17,114,1
35,9,11,52,1
36,2,17,2,1
37,2,6,14,1
38,10,20,6,1
39,22,17,114,1
40,22,19,3,1
41,21,18,2136,1
42,21,17,45,1
43,21,19,119759,1
44,17,18,19,1
45,17,19,33,1
46,17,14,92,1
47,17,7,16,1
48,17,4,30,1
49,17,11,7,1
50,11,18,5,1
51,11,19,264,1
52,11,6,46,1
53,11,7,548,1
54,18,19,1201,1
55,18,20,14,1
56,19,23,9,1
57,19,13,34,1
58,19,7,26,1
59,3,13,27,1
60,13,14,13673,1
61,13,4,211,1
62,14,4,83,1
63,6,7,33,1
64,18,20,16101,10
65,18,3,56,10
66,18,4,3859,10
67,18,7,745,10
68,18,24,298,10
69,18,16,79,10
70,18,2,72,10
71,18,22,451,10
72,18,11,401,10
73,19,8,3,10
74,19,17,141,10
75,19,22,85,10
76,19,21,18,10
77,20,4,5858,10
78,20,7,784,10
79,20,24,56,10
80,20,16,185,10
81,20,2,66,10
82,20,22,412,10
83,20,11,2,10
84,23,24,23,10
85,23,3,727,10
86,23,11,87,10
87,23,7,122,10
88,3,13,20,10
89,3,4,39,10
90,13,24,3,10
91,13,14,6763,10
92,13,21,26,10
93,14,8,141,10
94,14,9,183,10
95,4,7,959,10
96,4,24,301,10
97,4,16,1122,10
98,4,2,3538,10
99,4,22,505,10
100,4,11,47,10
101,7,16,57,10
102,7,2,33,10
103,7,22,90,10
104,7,11,8,10
105,8,22,313,10
106,24,9,4,10
107,24,2,76,10
108,24,11,245,10
109,2,22,19420,10
110,10,17,2,10
111,10,21,57,10
112,22,11,1495,10
113,21,17,21,10
114,18,24,24,11
115,18,20,1164,11
116,18,11,792,11
117,18,7,1769,11
118,18,4,6405,11
119,19,10,32,11
120,19,21,3,11
121,20,4,58917,11
122,20,7,213,11
123,20,24,101,11
124,20,16,18,11
125,20,9,18,11
126,20,2,45,11
127,20,22,36,11
128,23,24,2,11
129,23,3,729,11
130,23,7,10,11
131,3,14,3,11
132,13,8,26,11
133,13,17,2,11
134,13,9,112,11
135,13,14,6569,11
136,14,8,98,11
137,14,9,831,11
138,4,7,179,11
139,4,24,141,11
140,4,2,1023,11
141,4,22,64,11
142,4,11,66,11
143,7,24,10,11
144,7,2,169,11
145,8,9,22,11
146,8,10,107,11
147,24,16,591,11
148,24,2,289,11
149,24,10,23,11
150,24,11,12,11
151,16,2,15,11
152,9,22,122,11
153,9,21,94,11
154,2,10,8,11
155,2,22,173429,11
156,10,21,506,11
157,10,17,905,11
158,22,11,10,11
159,21,17,147,11
160,18,20,726,12
161,18,23,146,12
162,18,3,205,12
163,18,4,638,12
164,18,7,904,12
165,18,24,5,12
166,18,2,51,12
167,19,17,11,12
168,19,10,660,12
169,20,4,763,12
170,20,24,44,12
171,20,16,280,12
172,20,2,1249,12
173,20,11,410,12
174,23,7,43,12
175,23,3,880,12
176,23,4,81,12
177,13,8,22,12
178,13,14,5711,12
179,14,8,251,12
180,14,9,77752,12
181,4,7,2402,12
182,4,24,597,12
183,4,16,738,12
184,4,2,9802,12
185,4,22,1696,12
186,4,11,226,12
187,7,24,67,12
188,7,16,4,12
189,7,2,275,12
190,7,11,6,12
191,8,9,15,12
192,24,16,451,12
193,24,2,251,12
194,24,22,458,12
195,24,11,153,12
196,16,2,7,12
197,16,22,414,12
198,16,11,6,12
199,9,17,10,12
200,2,10,4,12
201,2,22,31452,12
202,2,21,81,12
203,10,17,45,12
204,22,21,340,12
205,22,17,240,12
206,22,11,933,12
207,21,11,60,12
208,18,20,1039,13
209,18,23,21,13
210,18,3,62,13
211,18,4,1411,13
212,18,7,110,13
213,18,16,249,13
214,18,2,66,13
215,18,22,33,13
216,19,11,17,13
217,19,16,66,13
218,19,10,351,13
219,20,3,54,13
220,20,4,7010,13
221,20,7,1061,13
222,20,24,89,13
223,20,16,962,13
224,20,2,1739,13
225,20,21,6,13
226,20,11,16,13
227,23,24,79,13
228,23,3,46,13
229,23,4,33,13
230,3,4,79,13
231,3,7,6,13
232,3,11,15,13
233,13,8,51,13
234,13,9,31,13
235,13,2,183,13
236,13,14,4432,13
237,14,8,573,13
238,14,9,155,13
239,4,7,451,13
240,4,24,1330,13
241,4,16,3331,13
242,4,2,47529,13
243,4,22,195,13
244,4,21,563,13
245,4,11,231,13
246,7,16,847,13
247,7,2,157,13
248,7,11,684,13
249,8,9,2352,13
250,24,16,280,13
251,24,2,49,13
252,24,22,347,13
253,24,11,110,13
254,16,2,745,13
255,16,10,119,13
256,16,22,467,13
257,16,17,63,13
258,16,11,358,13
259,9,21,1877,13
260,2,22,58693,13
261,2,21,29,13
262,2,11,334,13
263,10,17,236,13
264,22,21,150,13
265,18,20,780,14
266,18,3,2637,14
267,18,14,2070,14
268,18,24,243,14
269,18,16,70,14
270,18,2,222,14
271,18,11,111,14
272,19,24,127,14
273,19,2,93,14
274,19,10,2142,14
275,19,22,321,14
276,19,21,697,14
277,19,17,2130,14
278,20,23,24,14
279,20,3,9591,14
280,20,13,111,14
281,20,14,453,14
282,20,24,134,14
283,20,16,1897,14
284,20,2,4413,14
285,20,11,14,14
286,23,3,162,14
287,23,14,34,14
288,3,14,1609,14
289,3,24,803,14
290,3,16,1429,14
291,3,2,142503,14
292,3,22,2034,14
293,3,11,3130,14
294,13,8,180,14
295,13,9,182,14
296,13,10,2,14
297,13,4,81937,14
298,14,24,31,14
299,14,16,409,14
300,14,2,240,14
301,14,11,282,14
302,4,8,553,14
303,4,24,163,14
304,4,9,96,14
305,8,9,3449,14
306,24,16,899,14
307,24,2,65,14
308,24,10,90,14
309,24,22,284,14
310,24,21,561,14
311,24,11,334,14
312,16,2,733,14
313,16,22,662,14
314,16,21,53,14
315,16,11,32,14
316,2,22,8357,14
317,2,21,6,14
318,2,11,316,14
319,10,17,6205,14
320,10,22,229,14
321,22,17,219,14
322,22,11,19,14
323,21,17,284,14
324,18,20,816,15
325,18,23,613,15
326,18,3,10453,15
327,18,14,1329,15
328,18,24,631,15
329,18,2,187,15
330,18,11,50,15
331,19,24,241,15
332,19,2,23,15
333,19,3,114,15
334,20,3,321495,15
335,20,14,1183,15
336,20,24,54,15
337,20,2,8993,15
338,20,10,94,15
339,20,22,101,15
340,23,3,973,15
341,3,14,3603,15
342,3,24,249,15
343,3,2,180091,15
344,3,22,28,15
345,3,21,459,15
346,3,11,64,15
347,13,4,156356,15
348,13,8,21,15
349,13,24,2,15
350,13,16,260,15
351,13,9,220,15
352,13,17,12,15
353,14,2,115,15
354,4,8,282,15
355,4,24,139,15
356,4,9,73649,15
357,8,9,2047,15
358,24,10,59,15
359,24,21,2005,15
360,24,17,181,15
361,24,11,581,15
362,16,11,31,15
363,16,2,17,15
364,16,22,197,15
365,9,21,30,15
366,2,22,66678,15
367,2,21,99,15
368,2,11,73,15
369,10,17,372,15
370,22,21,465,15
371,22,11,22,15
372,17,11,1329,15
373,18,20,6224,16
374,18,3,17206,16
375,18,14,136,16
376,18,24,1062,16
377,18,2,45,16
378,18,11,2011,16
379,19,17,22,16
380,19,10,371,16
381,19,22,161,16
382,19,21,421,16
383,20,3,170055,16
384,20,24,2981,16
385,20,16,4,16
386,20,2,7551,16
387,20,22,32,16
388,20,11,74,16
389,3,14,140,16
390,3,24,2720,16
391,3,2,93330,16
392,3,22,977,16
393,3,11,876,16
394,13,8,1143,16
395,13,9,54,16
396,13,4,150376,16
397,4,8,69094,16
398,4,9,8190,16
399,4,21,35,16
400,8,24,22,16
401,8,9,41651,16
402,24,16,53,16
403,24,22,95,16
404,24,17,362,16
405,24,11,104,16
406,16,9,14,16
407,16,2,83,16
408,16,22,226,16
409,16,21,28,16
410,16,11,259,16
411,2,22,86827,16
412,2,11,8,16
413,22,21,395,16
414,22,11,117,16
415,18,11,10,17
416,18,16,367,17
417,18,3,4089,17
418,18,20,2263,17
419,19,17,1088,17
420,19,22,40,17
421,20,11,496,17
422,20,16,1317,17
423,20,2,382,17
424,20,3,242535,17
425,3,14,45,17
426,3,16,180,17
427,3,2,85865,17
428,3,22,203,17
429,3,11,12,17
430,13,8,209,17
431,13,24,9,17
432,13,9,17790,17
433,13,4,164928,17
434,4,8,43,17
435,24,11,513,17
436,16,9,146,17
437,16,2,65,17
438,16,22,869,17
439,16,21,75229,17
440,16,11,173,17
441,2,11,58,17
442,2,22,129536,17
443,22,21,1445,17
444,22,11,515,17
445,18,11,31,18
446,18,20,16688,18
447,18,4,3190,18
448,20,24,120,18
449,20,2,1086,18
450,20,11,439,18
451,20,4,61418,18
452,23,13,54,18
453,3,8,21,18
454,3,9,11,18
455,3,14,4773,18
456,14,8,2286,18
457,14,9,959,18
458,4,7,38,18
459,4,24,189,18
460,4,2,277764,18
461,4,22,1382,18
462,4,11,1727,18
463,8,9,1328,18
464,24,11,126,18
465,24,2,33,18
466,24,22,368,18
467,16,11,68,18
468,2,11,128,18
469,2,22,169151,18
470,22,11,47,18
471,18,11,6,19
472,18,20,106096,19
473,18,4,1484,19
474,18,2,10,19
475,18,7,72,19
476,19,17,22,19
477,19,10,5,19
478,20,11,24,19
479,20,4,357401,19
480,20,2,1047,19
481,20,7,21,19
482,3,8,13,19
483,3,9,50,19
484,3,22,2,19
485,3,14,5117,19
486,13,17,40,19
487,13,24,105,19
488,13,22,52,19
489,14,8,176369,19
490,14,9,323,19
491,4,7,3,19
492,4,24,112,19
493,4,2,230308,19
494,4,22,3998,19
495,4,21,557,19
496,4,11,12,19
497,24,9,991,19
498,24,2,86,19
499,24,22,199,19
500,24,21,106,19
501,9,2,3,19
502,2,22,156373,19
503,2,21,52,19
504,22,21,671,19
505,22,11,203,19
506,1,4,24,2
507,5,8,161,2
508,5,11,233,2
509,5,9,68,2
510,5,7,1360,2
511,5,6,19,2
512,12,18,54,2
513,12,19,12,2
514,12,13,754,2
515,12,14,508,2
516,12,4,25,2
517,12,16,136,2
518,15,4,37,2
519,8,11,270,2
520,8,9,63,2
521,8,7,575,2
522,16,18,15,2
523,16,19,191,2
524,16,13,137,2
525,16,14,469,2
526,16,4,10,2
527,16,21,17,2
528,9,6,105856,2
529,9,7,378,2
530,9,22,31,2
531,9,11,162,2
532,2,6,561,2
533,10,20,14,2
534,10,23,29,2
535,22,19,31,2
536,22,20,65,2
537,22,21,18,2
538,21,18,3287,2
539,21,19,54558,2
540,21,20,89,2
541,21,23,12,2
542,21,11,98,2
543,11,18,149,2
544,11,19,63,2
545,11,7,532,2
546,18,19,3889,2
547,18,20,1835,2
548,19,23,9,2
549,19,3,174,2
550,19,13,38,2
551,20,23,22,2
552,3,13,2,2
553,13,14,7349,2
554,13,4,134,2
555,14,4,48,2
556,18,11,6,20
557,18,20,106096,20
558,18,4,1484,20
559,18,2,10,20
560,18,7,72,20
561,19,17,22,20
562,19,10,5,20
563,20,11,24,20
564,20,4,357401,20
565,20,2,1047,20
566,20,7,21,20
567,3,8,13,20
568,3,9,50,20
569,3,22,2,20
570,3,14,5117,20
571,13,17,40,20
572,13,24,105,20
573,13,22,52,20
574,14,8,176369,20
575,14,9,323,20
576,4,7,3,20
577,4,24,112,20
578,4,2,230308,20
579,4,22,3998,20
580,4,21,557,20
581,4,11,12,20
582,24,9,991,20
583,24,2,86,20
584,24,22,199,20
585,24,21,106,20
586,9,2,3,20
587,2,22,156373,20
588,2,21,52,20
589,22,21,671,20
590,22,11,203,20
591,18,7,162,21
592,18,20,4328,21
593,18,4,11338,21
594,19,2,94,21
595,20,11,97,21
596,20,4,336157,21
597,23,13,235,21
598,3,9,4,21
599,3,14,135793,21
600,14,8,5804,21
601,14,2,8,21
602,14,9,5236,21
603,14,22,47,21
604,4,7,63,21
605,4,2,329050,21
606,4,22,791,21
607,8,9,1110,21
608,16,2,54,21
